id,created_at,created_by_id,question,answer
7a00a1f2-e92b-4057-b9af-f1d0605a9eba,2024-12-01 19:48:53.977235+00,aCt3wgqWeLgmliqENSbESSwi9203,Where did you first hear about Wondercraft?,"Social media (LinkedIn, X, Threads, TikTok or Instagram)"
7a0119de-020a-47c0-aebd-f0dd8804f3ab,2024-12-10 19:06:18.52964+00,a7TvrpLYkZccrYmBeDsI8qKj2iK2,What are you looking to create?,Podcast
7a03836c-45c3-4880-87ea-3b0c80c93274,2024-12-05 23:43:10.23515+00,tsa6Zi6gEGVWvGmdpcctKmRhYjv2,Which of the following best describes you?,Other
7a055686-a945-44c2-922f-baf71503fee9,2024-12-03 21:28:56.618633+00,mH1J60DLXUgea145O8E9VOqvgRh2,Which of the following best describes you?,Student
7a05989c-0031-4372-8039-6901578fc52b,2024-12-02 18:04:41.339003+00,ElbNXiEoZDPHZ1ObBthQ0PZBVag2,Which of the following best describes you?,Student
7a0c9a9a-892a-4b0f-9014-b83cc25c5beb,2024-12-09 04:25:44.443703+00,oGMdLULZOCRRpOkwg7vqnEUcwYm1,Where did you first hear about Wondercraft?,Other
7a0e33aa-1c54-4338-875a-843b86bb5e8a,2024-11-30 06:29:08.255532+00,AoOI3bR2DPQcEkRLY1EM5GRxsv43,Which of the following best describes you?,Student
7a107702-4840-4fa3-8e29-ee18f04541ec,2024-12-06 07:23:35.995321+00,GP2Cyu78Z1fzsJO57d7cQbjoZsT2,What are you looking to create?,Podcast
7a1c41f2-f66f-40ed-8770-2a44837d8a31,2024-12-05 16:22:45.501762+00,Zb9s8bZYKnSKb21l7ZcQwJl3aBT2,Where did you first hear about Wondercraft?,YouTube
7a1f11aa-951b-446c-a17e-de7c0d05d3ce,2024-12-05 13:42:21.532289+00,c3foIhfbslWIR5JuXL3yBVDV8je2,What are you looking to create?,Podcast
7a2c5b12-cb61-4ff8-a086-7308c24e07c4,2024-12-09 20:32:09.282799+00,xpVvuP8p5TNSRV5hyxBGQHtPFsX2,What are you looking to create?,Podcast
7a33ab1c-5148-41c0-9986-8359f56e50c7,2024-12-01 17:24:14.569889+00,iF4kh6u31HOf30VqVmPkO24bj0F3,Where did you first hear about Wondercraft?,"Social media (LinkedIn, X, Threads, TikTok or Instagram)"
7a383291-669c-426c-897b-db525ad34054,2024-12-07 14:43:40.309466+00,IgGibDsmJYQZU40MPolCYsEJ5Il2,Where did you first hear about Wondercraft?,"Social media (LinkedIn, X, Threads, TikTok or Instagram)"
7a38ef2a-8e62-49b9-94b0-cb20ee38a786,2024-12-03 09:09:46.064359+00,6UfOpFLKzwOcwkNXrulyBGObWMq1,What are you looking to create?,Podcast
7a3b370b-044c-4a3d-8042-9e18ecbd3108,2024-12-04 18:43:58.761931+00,2vU48x0IsyeO90pmVue54rAK60n2,Where did you first hear about Wondercraft?,Word of mouth
7a4004ce-5761-449f-9e89-bcea390f4804,2024-12-04 00:26:50.88221+00,o4fQsA8SLkfjgI9PYrjytoUTKml2,Where did you first hear about Wondercraft?,YouTube
7a410670-38c0-485e-8d7d-955119bce89c,2024-12-10 01:49:21.648075+00,k0qI18Z43Pg2BHC7eWQFA9gfBM22,Which of the following best describes you?,Other
7a46e20f-a511-4e74-823e-bdb87133eba1,2024-12-05 18:26:43.748662+00,uPErjWTM3ZdYHOIhWOHlH5coO703,Where did you first hear about Wondercraft?,Other
7a47abe8-154f-4d63-8379-15b90d1c5d69,2024-12-07 19:04:24.707233+00,Lz3FLUauwzfvNRsFLHY984aC4L72,What are you looking to create?,Meditation
7a48646f-1e94-4acd-8073-2bc6e902f8f3,2024-12-09 12:24:50.576311+00,9eRjHApitcUt6dtZxLBUNHxr1i52,What are you looking to create?,Podcast
7a4e341f-3039-471f-9b97-a84ada594c26,2024-12-01 10:49:11.415994+00,7z3lerPRyjUnSeY52fwnzChu9L02,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
7a4fee2f-4222-461a-96c7-325115269ef0,2024-12-02 11:35:56.480741+00,DiWt8uPXU7XS3LVwiCAOKci44JX2,What are you looking to create?,Podcast
7a56b268-3a9e-4da4-a187-47ce7201280b,2024-12-02 15:36:47.767266+00,VgaKZMzk6CNRHwSD82zpostPx9l1,Where did you first hear about Wondercraft?,YouTube
7a65c2a4-4894-4032-844c-e8a63fe6fbac,2024-12-02 17:57:29.04287+00,q7khY0cZ3cUETWNe8rcKkUp3p4G2,Which of the following best describes you?,Student
7a681206-d19f-49f4-84de-2e94a149cc5a,2024-12-06 16:48:01.433299+00,EA4DLQ8H8GYgWBBsWmiPJlvc8a02,Where did you first hear about Wondercraft?,Other
7a6940a2-dba2-4680-b685-90105a554f02,2024-12-04 10:59:01.132034+00,WtFqWp7g2gd6yh4BFH8OscVAOqR2,What are you looking to create?,Podcast
7a6dc2a3-980b-4de8-bb31-cb8366e18169,2024-12-04 21:10:46.193089+00,AJdI54C2EJbTNdeSTv9jPHWOJ4s1,What are you looking to create?,Podcast
7a70bf48-aada-46dc-9e5e-848f04a49139,2024-12-02 17:54:36.786637+00,9YtOplh0wthyPunVJpygcQpEDZm1,Where did you first hear about Wondercraft?,"Wondercraft generator tools (podcast, ad, meditation tool)"
7a783eaf-8949-4a3c-ac6b-c77993b3e605,2024-11-28 16:02:01.243064+00,3OgTYbIUgGOmr3FTtItzulonW2Z2,Which of the following best describes you?,Educator/Teacher
7a88b38b-bfc9-4d80-8c11-75aab0eacde9,2024-12-11 15:20:20.554352+00,b8sPAgfBiJZ8NI8qC1jeizzHkln1,Which of the following best describes you?,Educator/Teacher
7a8bf5d7-5a9b-459b-8e1b-5034d2d7a304,2024-12-04 10:07:14.029001+00,jBp9cLtPeKc9rYcUf30H07b2AHD3,What are you looking to create?,Other
7a8f571e-2d8b-44c4-ba79-7b99a5da7b25,2024-12-02 06:00:40.468378+00,LOkjrfoEETMnZXUmC1TEE5Hg5sF2,Which of the following best describes you?,Educator/Teacher
7a9229ff-0f2c-4547-9f58-d16c33f0135c,2024-12-03 22:59:52.616043+00,3o2BU2149aNA7iJnkbIHpqfiAW43,What are you looking to create?,Podcast
7a95b90c-5174-4633-826a-1624707e7def,2024-12-09 03:41:09.434219+00,cF4OkYM4C1SwUxSI35Z3AjhxQbW2,What are you looking to create?,Podcast
7a968adf-41d7-4e6e-b9e7-ac828d5bdbd5,2024-12-07 17:03:23.924435+00,wgCbpuoR7rZ362WfKlZCiTrvJR03,Where did you first hear about Wondercraft?,Other
7a98875f-e3fb-4c06-a7bc-cb8439da0344,2024-12-10 15:58:49.483032+00,1s3zkz6wjRXEsB0gTdZLcK84pvd2,Which of the following best describes you?,Marketing Professional
7aa748b1-02e2-4e9d-acd9-aedb26f619d2,2024-12-08 15:07:29.07999+00,EPZzys4vEve4pvw5AEoUnF9biPq1,Which of the following best describes you?,Student
7aaa8f69-bc3b-43c9-a03d-db477c372a08,2024-12-02 04:46:43.170987+00,SNmqdK9AxjgwgmUSCd4B26cDXLn2,Which of the following best describes you?,Hobbyist/Enthusiast
7aab7e82-7fcb-4fed-a996-174b3b5594d9,2024-11-29 04:39:48.487136+00,XBnAhkiu6ETuhFrjyiXon7es6VV2,What are you looking to create?,Podcast
7aad579c-ddb3-468f-87f5-8969e66636db,2024-12-08 10:05:50.736338+00,KSSVTUyAsaRddwLBMRlzVbYLw7o2,What are you looking to create?,Audiobook
7ab5d6a6-c282-47f8-bba2-e2bd2140fb65,2024-12-02 09:01:13.500151+00,CU43pYC4bwQUGgCNn9hMIzxPuHM2,What are you looking to create?,Podcast
7ab5e16b-a8ba-4ea8-ab87-666d877197cb,2024-12-02 12:26:20.649855+00,8hUe1BAtG6N51htcI6FqqZvk2g72,Where did you first hear about Wondercraft?,YouTube
7ab8aeb5-428e-4f97-900e-1d1c1c5be41d,2024-12-10 01:31:45.205415+00,UIQJCPhqnYXMFL2AUbFuWxOnARV2,What are you looking to create?,Podcast
7abcd077-6070-4ab0-a696-78ee0824f232,2024-11-28 19:47:27.34346+00,mmUz3Do4F0hMCBv0XQi3ntwWNRx2,Where did you first hear about Wondercraft?,Other
7ac49fca-db46-4e1a-b0ab-008a67b7ddb2,2024-12-03 08:09:49.07871+00,eyXicB1z1mhx4UooWBTcDpK0l3N2,What are you looking to create?,Other
7acb905e-7e52-45bc-9e42-187bbc8e27be,2024-12-02 15:50:25.500107+00,MHRtHRE8QTh4vhzKvvdmYGmYXPa2,Which of the following best describes you?,Student
7acde744-acbf-4b50-9092-6fedabff24b4,2024-12-03 21:46:16.806662+00,h3BDXGuVBWOJKyC3iNLxN7aSUY53,Which of the following best describes you?,Hobbyist/Enthusiast
7aceaa48-4cc0-4a20-94a8-27d69d0a5775,2024-12-02 19:43:47.934974+00,9Q4krbwwcVfT6hHyD3vLHoG6bAq2,What are you looking to create?,Other
7ad83ee8-c992-43b3-bb5c-2baebd809dc3,2024-12-04 09:20:45.065532+00,TK2I4WWxa4d4sBZDRqftjJP1kkg1,What are you looking to create?,Podcast
7adcab15-ec4e-4210-b568-0535ab4f44a3,2024-12-07 10:50:15.001941+00,ysjP7GKpULQFrpKPr3oNwksaQsM2,What are you looking to create?,Podcast
